"cause","exposure","mean","lower","upper"
"cvd_ihd",1516,2.01617104288628,1.67375234228941,2.40220127263454
"cvd_ihd",1517,2.01617188779386,1.67375285445744,2.40220252335807
"cvd_ihd",1518,2.01617273270179,1.67375336662563,2.40220377408224
"cvd_ihd",1519,2.01617357761009,1.67375387879398,2.40220502480707
"cvd_ihd",1520,2.01617442251874,1.67375439096249,2.40220627553253
"cvd_ihd",1521,2.01617526742776,1.67375490313115,2.40220752625866
"cvd_ihd",1522,2.01617611233713,1.67375541529996,2.40220877698543
"cvd_ihd",1523,2.01617695724686,1.67375592746894,2.40221002771286
"cvd_ihd",1524,2.01617780215696,1.67375643963807,2.40221127844094
"cvd_ihd",1525,2.01617864706741,1.67375695180736,2.40221252916968
"cvd_ihd",1526,2.01617949197823,1.6737574639768,2.40221377989906
"cvd_ihd",1527,2.0161803368894,1.6737579761464,2.40221503062909
"cvd_ihd",1528,2.01618118180093,1.67375848831616,2.40221628135977
"cvd_ihd",1529,2.01618202671283,1.67375900048607,2.4022175320911
"cvd_ihd",1530,2.01618287162508,1.67375951265615,2.40221878282309
"cvd_ihd",1531,2.0161837165377,1.67376002482638,2.40222003355574
"cvd_ihd",1532,2.01618456145067,1.67376053699676,2.40222128428901
"cvd_ihd",1533,2.01618540636401,1.6737610491673,2.40222253502296
"cvd_ihd",1534,2.0161862512777,1.673761561338,2.40222378575754
"cvd_ihd",1535,2.01618709619176,1.67376207350885,2.40222503649279
"cvd_ihd",1536,2.01618794110617,1.67376258567986,2.40222628722868
"cvd_ihd",1537,2.01618878602094,1.67376309785103,2.40222753796523
"cvd_ihd",1538,2.01618963093607,1.67376361002235,2.40222878870242
"cvd_ihd",1539,2.01619047585157,1.67376412219384,2.40223003944027
"cvd_ihd",1540,2.01619132076742,1.67376463436547,2.40223129017876
"cvd_ihd",1541,2.01619216568364,1.67376514653727,2.40223254091791
"cvd_ihd",1542,2.01619301060021,1.67376565870922,2.40223379165771
"cvd_ihd",1543,2.01619385551715,1.67376617088133,2.40223504239817
"cvd_ihd",1544,2.01619470043444,1.6737666830536,2.40223629313927
"cvd_ihd",1545,2.01619554535209,1.67376719522602,2.40223754388102
"cvd_ihd",1546,2.01619639027011,1.6737677073986,2.40223879462343
"cvd_ihd",1547,2.01619723518849,1.67376821957133,2.40224004536649
